key,source,target
/hint_tuj_equipgun,Gear Up,Снаряжение
/hint_tuj_equipcrowbar,Gear up,Снаряжение
/hint_tuj_jump,Getting over obstacles,Преодоление препятствий
/meta_crew_heister_health,Health,Здоровье
/hint_tut_holster,Hiding weapons,Убрать оружие
/hint_tuj_hint,Hint - {Title},Совет — {Title}
/meta_crew_hired,Hired,Нанят
/hint_tut_ping-loot_description,"Hold <action id=""Ping""/> to mark loot for your teammate to collect.","Удерживайте <action id=""Ping""/>, чтобы отметить добычу, которую нужно забрать."
/hint_tut_ping-guard_description,"Hold <action id=""Ping""/> to mark the guard to be subdued.","Удерживайте <action id=""Ping""/>, чтобы отметить охранника, которого нужно вырубить."
/hint_tut_flashlightdescription,"Hold <action id=""Reload""/> to toggle the flashlight","Удерживайте <action id=""Reload""/>, чтобы включить/выключить фонарик."
/hint_tut_holsterdescription_controller,"Hold <action id=""SwitchWeapon""/> to holster the weapon.","Удерживайте <action id=""SwitchHolsterWeapon""/>, чтобы зачехлить оружие."
/hint_tuj_escapedescription,"Hold <action id=""Use""/> on one of the van's front doors to escape.","Чтобы эвакуироваться, удерживайте <action id=""Use""/> около любой передней двери фургона."
/hint_tuj_ziptiedescription,"Hold <action id=""Use""/> to zip tie subdued individuals.","Удерживайте <action id=""Use""/>, чтобы связать врага, которого вырубили."
/hint_tuj_heisterswitchdescription,"Hold <action id=""WheelMenu""/> to open the character menu. Then release it to switch to selected character.","Удерживайте <action id=""WheelMenu""/>, чтобы открыть меню персонажей. Отпустите, чтобы переключиться на выбранного персонажа."
/crew_start_hold,Hold to start mission,"Удерживайте, чтобы начать задание"
/meta_crew_how_to_unlock,How to unlock,Инструкция по разблокировке
/hint_tuj_strikesdescription,"If you are seen doing something suspicious, you will be given a strike. More serious offenses will alert the authorities immediately.","Если кто-то застукает вас за подозрительным занятием, вы будете считаться обнаруженным, а в особо серьезных случаях могут сразу поднять тревогу."
/meta_crew_heister_loadout,Loadout,Экипировка
/meta_crew_locked_title-short,Locked,Заблокировано
/meta_crew_locked_title-long,Locked character,Заблокированный персонаж
/hint_tuj_picklock,Lockpicking,Взлом замков
/hint_tuj_destroycases,Looting,Добыча
/hint_tut_ping,Marking,Отметка
/meta_crew_heister_missoncut_plain,Mission cut,Доля от задания
/meta_crew_heister_missioncut,Mission cut {0}%,Доля от задания: {0}%
/hint_tuj_picklockstartdescription,"Move the lockpick until you find the sweet spot. Then press <action id=""ShootPrimary""/> to secure the pin.","Перемещайте отмычку, пока не найдете нужное место. Затем нажмите <action id=""ShootPrimary""/>, чтобы зафиксировать штифт."
/meta_crew_no_equipment_available,No equipment available,Нет доступного снаряжения
/meta_crew_no_weapon_available,No weapons available,Нет доступного оружия
/meta_crew_generic_owned_title,Owned,Имеется
/meta_crew_weapon_owned_title,Owned,Имеется
/meta_perk_effect,Perk description,Описание особенности
/meta_crew_heister_perks,Perks,Особенности
/hint_tuj_destroycamerawithgundescription,"Press <action id=""Bash""/> to destroy camera with a gun","Нажмите <action id=""Bash""/>, чтобы сломать камеру оружием"
/hint_tuj_destroycameradescription,"Press <action id=""Bash""/> to destroy the camera.","Нажмите <action id=""Bash""/>, чтобы сломать камеру."
/hint_tuj_destroycasesdestriction,"Press <action id=""Bash""/> to destroy the cases holding the loot. Then collect it by holding <action id=""Use""/>.","Нажмите <action id=""Bash""/>, чтобы уничтожить ящики с добычей. Затем соберите ее, удерживая <action id=""Use""/>."
/hint_tut_stealthkilldescription,"Press <action id=""Bash""/> when behind an enemy while undetected to perform a stealth takedown ","Пока вас не замечают, нажмите <action id=""Bash""/> за спиной у врага, чтобы устранить его, не привлекая внимания "
/hint_tuj_crouchdescription,"Press <action id=""Crouch""/> to crouch.","Нажмите <action id=""Crouch""/>, чтобы присесть."
/hint_tut_retrievelootdescription,"Press <action id=""DropWieldable""/> near the van's trunk to throw the bags inside.","Нажмите <action id=""DropWieldable""/> рядом с кузовом фургона, чтобы закидывать в него сумки."
/hint_tut_droppingdescription,"Press <action id=""DropWieldable""/> to drop the currently equipped object.","Нажмите <action id=""DropWieldable""/>, чтобы бросить текущий экипированный предмет."
/hint_tuj_jumpdescription,"Press <action id=""Jump""/> to jump or climb over obstacle.","Нажмите <action id=""Jump""/>, чтобы перепрыгнуть или перелезть через препятствие."
/hint_tuj_equipcrowbardescription,"Press <action id=""MountSlot1""/> to equip Crowbar","Нажмите <action id=""MountSlot1""/>, чтобы взять монтировку"
/hint_tuj_pingdescription,"Press <action id=""Ping""/> while looking at objects or enemies to mark them for your team.","Нажмите <action id=""Ping""/>, глядя на врага или предмет, чтобы отметить их для союзников."
/hint_tuj_screamdescription,"Press <action id=""Shout""/> to intimidate civilians. Then zip tie them by holding <action id=""Use""/>.","Нажмите <action id=""Shout""/>, чтобы угрожать гражданским. Затем удерживайте <action id=""Use""/>, чтобы их связать."
/hint_tut_holsterdescription,"Press <action id=""SwitchHolsterWeapon""/> to holster the weapon.","Нажмите <action id=""SwitchHolsterWeapon""/>, чтобы зачехлить оружие."
/hint_tuj_cameracontrollerdescription,"Press <action id=""Use""/> to take control of the security monitor. Then hold <action id=""Use""/> to disable cameras.","Нажмите <action id=""Use""/>, чтобы перехватить контроль над системой охраны. Затем удерживайте <action id=""Use""/>, чтобы отключить камеры."
/hint_tut_subduedescription,"Press <action id=""Use""/> when behind somebody to subdue them.","Нажмите <action id=""Use""/> за спиной у врага, чтобы вырубить его."
/hint_tuj_followalldescription1,"Press <action id=""WheelMenu""/> then press <action id=""BotFollow""/> to have your teammates follow you.","Нажмите <action id=""WheelMenu""/> и удерживайте <action id=""BotFollow""/>, чтобы приказать товарищам следовать за вами."
/meta_crew_heister_progression,Progression,Прогресс
/meta_crew_promotion_promotioncomplete,Promotion Complete,Повышение завершено
/meta_crew_promotion_text,"Promotion increases health, improves combat abilities, adds or upgrades perks and gives new equipment.","С повышением персонажа растет его здоровье и улучшаются боевые навыки. Персонаж приобретает новые способности или развивает имеющиеся, а также получает новое снаряжение."
/meta_crew_promotion_title,Promotion rewards,Награды повышения
/meta_crew_heister_refresh,Refresh characters for hire,Обновить персонажей для найма
/meta_crew_weapon_refresh,Refresh weapons for sale,Обновить оружие для продажи
/meta_crew_lobby_requiredslot,Required,Требуется
/hint_tut_revives,Revives,Оживление
/meta_crew_revive_count,Revives ({count}×),Оживления (x{count})
/meta_crew_tier_1,Rookie character,Персонаж-салага
/hint_tut_retrieveloot,Securing the loot,Вывоз добычи
/hint_tuj_shooting,Shooting,Стрельба
/hint_tuj_shootingdescription,Shooting your firearm in public without silencer will alert nearby enemies and trigger a response from law enforcement,"Если начать стрельбу без глушителя на публике, вы привлечете внимание врагов поблизости и правоохранительных органов."
/meta_crew_lobby_start,Start mission,Начать задание
/meta_crew_heister_stats,Stats,Статистика
/hint_tut_stealthkill,Stealth takedown,Тихое устранение
/hint_tut_subdue,Subdue,Вырубить врага
/hint_tuj_guardscream,Subdue and zip tie the guard,Вырубить и связать охранника
/hint_tuj_strikes,Suspicion strikes,Предупреждения
/meta_crew_weapon_switch-equipment,Switch equipment,Сменить снаряжение
/meta_crew_weapon_switch,Switch weapon,Сменить оружие
/meta_crew_weapon_take-equipment,Take equipment from {Heister},Взять снаряжение у грабителя {Heister}
/meta_crew_weapon_take,Take weapon from {Heister},Взять оружие у грабителя {Heister}
/meta_crew_heister_owned_title,Team,Команда
/hint_tuj_followall,Team commands,Приказы команде
/hint_tut_ping-guard,Team commands,Приказы команде
/meta_crew_heister_title,Team overview,Обзор команды
/hint_tut_revives_count,The icon next to the healthbar shows available revives,"Значок рядом со шкалой здоровья указывает, сколько раз вас можно оживить"
/meta_crew_heister_unique,Unique,Уникальные предметы
/hint_tut_cameradescription,"Use <action id=""Ability1""/> to take a picture","<action id=""Ability1""/> позволяет сделать фото."
/hint_tuj_followalldescription2,Use the 'Follow me' command to have everyone regroup on you.,Команда «За мной» поможет быстро сменить дислокацию.
/hint_tut_camera,Using camera,Съемка на камеру
/hint_tut_flashlight,Using flashlight,Фонарик
/meta_crew_tier_2,Veteran character,Персонаж-ветеран
/meta_crew_weapon_title,Weapon overview,Обзор оружия
/meta_crew_weapon_buyback_title,Weapon recovery,Восстановление оружия
/meta_xp,XP,Опыт
/hint_tuj_guardscreamdescription,"You can subdue unsuspecting individuals by pressing <action id=""Use""/> on them. Then hold <action id=""Use""/> to zip tie them.","Если противник вас не замечает, его можно вырубить. Для этого нажмите <action id=""Use""/> рядом с ним. Затем удерживайте <action id=""Use""/>, чтобы его связать."
/hint_tuj_ziptie,Zip tying,Связывание
/meta_crew_heister_missioncut_percentage,{0}%,{0}%
/meta_crew_heister_revive,{Current}/{Overall},{Current}/{Overall}
/meta_crew_heister_fullname,{Name} {Surname},{Name} {Surname}
ST_99p_Cutscenes/meta_99p_HeliCrew_choice,Do you want to pay the helicopter crew for the Cagnali assault mission now?,Хотите оплатить вертолет для задания на штурм Канали?
ST_99p_Cutscenes/meta_99p_MissilesTrade_choice,Do you want to purchase missiles for the Cagnali assault mission now?,Хотите приобрести ракеты для задания на штурм Канали?
ST_99p_Cutscenes/meta_99p_upgrade_postpone,I'll let you know later.,Позже дам знать.
ST_99p_Cutscenes/meta_99p_favor,Use favor,Воспользоваться услугой
ST_99p_Cutscenes/meta_99p_UpgradeArmy_choice,Would you like to provide your army with better equipment?,Хотите оснастить свою армию лучшим снаряжением?
ST_99p_MIssions/meta_99p_99problems_title,99 Problems,99 проблем
ST_99p_MIssions/meta_99p_distraction_title,A Distraction,Отвлекающий маневр
ST_99p_MIssions/meta_99p_distraction_description,Attack Cagnali's turf to provide a distraction and split her forces.,"Напасть на территорию Канали, чтобы отвлечь и разделить ее силы."
ST_99p_MIssions/meta_99p_weaponstorage_description,Blow up a fortified parking structure with Cagnali's stash of weapons.,"Взорвать укрепленный паркинг, где Канали хранит вооружение."
ST_99p_MIssions/meta_99p_weaponstorage_task,Blow up the weapon storage,Уничтожить оружейный склад
ST_99p_MIssions/meta_99p_missilestrade_task,Buy missiles for the chopper,Купить ракеты для вертолета
ST_99p_MIssions/meta_99p_cagnalidiedcleanupnotification_nftitle,Cagnali Died,Канали мертва
ST_99p_MIssions/meta_99p_cagnalidiedcleanupnotification_nfdescription,Cagnali’s Order storyline ended because Cagnali’s gang has been eliminated.,"Сюжетная линия «Приказы Канали» закончена, так как банда Канали уничтожена."
ST_99p_MIssions/meta_99p_eliminateofficers_title,Eliminate Officers,Уничтожение командиров
ST_99p_MIssions/meta_99p_missilestrade_description,Equip the chopper with special Stinger missiles.,Снарядить вертушку особыми ракетами «Стингер».
ST_99p_MIssions/meta_99p_99problems_task,Finish off Cagnali,Прикончить Канали
ST_99p_MIssions/meta_99p_hirechopper_title,Hire Chopper,Вертушка по найму
ST_99p_MIssions/meta_99p_hirechopper_description,Hire an attack chopper for the hit on Cagnali.,Нанять штурмовой вертолет для удара по Канали.
ST_99p_MIssions/meta_99p_hirechopper_task,Hire an attack helicopter,Нанять штурмовой вертолет
ST_99p_MIssions/meta_99p_compound_task,Hit Cagnali's forces,Нанести урон силам Канали
ST_99p_MIssions/meta_99p_distraction_task,Hit Cagnali's territory,Напасть на территорию Канали
ST_99p_MIssions/meta_99p_upgradearmy_description,Invest in your army to stand a better chance against Cagnali.,"Вложиться в армию, чтобы увеличить шансы на победу над Канали."
ST_99p_MIssions/meta_99p_99problems_description,It's time to get Cagnali out of the game.,Пора вывести Канали из игры.
ST_99p_MIssions/meta_99p_killengineer_task,Kill Cagnali's chief engineer,Убить главного инженера Канали
ST_99p_MIssions/meta_99p_eliminateofficers_task,Kill all Cagnali's officers,Убить всех командиров Канали
ST_99p_MIssions/meta_99p_missilestrade_title,Missiles for the Chopper,Ракеты для вертолета
ST_99p_MIssions/meta_99p_killengineer_description,Take out Cagnali's chief engineer.,Устранить главного инженера Канали.
ST_99p_MIssions/meta_99p_eliminateofficers_description,Take out Cagnali's officers.,Устранить командиров Канали.
ST_99p_MIssions/meta_99p_compound_title,The Compound,Резиденция
ST_99p_MIssions/meta_99p_weaponstorage_title,The Weapon Storage,Оружейный склад
ST_99p_MIssions/meta_99p_upgradearmy_title,Upgrade Army,Улучшение армии
ST_99p_MIssions/meta_99p_upgradearmy_task,Upgrade your army,Улучшить армию
ST_99p_MIssions/meta_99p_compound_description,Weaken Cagnali's forces by killing as many as you can.,"Ослабить силы Канали, убив столько, сколько получится."
ST_99p_MIssions/meta_99p_killengineer_title,Wench's Wrench,Девчачий конструктор
ST_99p_Objectives/obj_99p_05_reactivate_generators,Activate at least one generator,Активировать минимум один генератор
ST_99p_Objectives/obj_99p_custom_activate_generators,Activate the generators,Активировать генераторы
ST_99p_Objectives/obj_99p_custom_active_generators,Active generators,Активные генераторы
ST_99p_Objectives/obj_99p_10_apartments_attack,Attack the apartments,Напасть на жилое здание
ST_99p_Objectives/obj_99p_02_motel_attack,Attack the motel,Напасть на мотель
ST_99p_Objectives/obj_99p_06_confirm_upload,Confirm the upload,Подтвердить загрузку
ST_99p_Objectives/obj_99p_04_defend_generators,Defend the generators,Защитить генераторы
ST_99p_Objectives/obj_99p_01_enter_compound,Enter Cagnali’s territory,Попасть на территорию Канали
ST_99p_Objectives/obj_99p_16_escape,Escape,Скрыться
ST_99p_Objectives/obj_99p_12_gather_elevator,Gather in the elevator,Собраться в лифте
ST_99p_Objectives/obj_99p_13_get_into_heli,Get in Cagnali’s helicopter,Сесть в вертолет Канали
ST_99p_Objectives/obj_99p_11_locate_construction_site,Locate the entrance to the construction site,Найти вход на стройплощадку
ST_99p_Objectives/obj_99p_03_locate_access_point,Locate the network access point,Найти точку доступа к сети
ST_99p_Objectives/obj_99p_09_alleyway,Make your way through the alleyway,Пробраться через переулок
ST_99p_Objectives/obj_99p_07_approach_cafe,Reach the café building,Добраться до здания кафе
ST_99p_Objectives/obj_99p_08_regroup_cafe,Regroup with Touchdown,Встретиться с Тачдауном
ST_99p_Objectives/obj_99p_15_signal_heli,Signal the escape helicopter,Дать сигнал эвакуации вертолету
ST_99p_Objectives/obj_99p_03b_start_upload,Start uploading malware,Начать загрузку вируса
ST_99p_Objectives/obj_99p_14_survive,Survive until the system is hacked,Выжить до окончания взлома системы
ST_99p_Variations/GenericPlanner_ID_99p_upload_complete_1_All_3,100%! The upload is ready!,100%! Все загружено!
ST_99p_Variations/GenericPlanner_ID_99p_upload_50_1_All_2,50% done!,50%!
ST_99p_Variations/GenericPlanner_ID_99p_upload_75_1_All_1,75%!,75%!
ST_99p_Variations/GenericPlanner_ID_99p_sending_data_1_All_1,A direct fuckin' line to Sheriff! That’s where all of that dirt is going. Gotta make it legible for the elderly though…,"Прямиком, блядь, к шерифу! Вот куда все это пойдет. Надо только придать этому более понятный для пенсионеров вид…"
ST_99p_Variations/GenericPlanner_ID_99p_generators_one_down_1_All_5,A generator just got shut off! Kill them and get it running again!,Генератор только что отключили! Убейте засранцев и запустите его снова!
ST_99p_Variations/GenericHeister_ID_99p_near_sewer_1_All_1,A sewer grate. Open it?,Канализационная решетка. Откроете?
ST_99p_Variations/GenericHeister_ID_99p_gas_fire_1_All_1,AAH get out!!!,"А-а-а, валим отсюда!!!"
ST_99p_Variations/GenericBoss_ID_99p_dream_hit_1_All_3,Aaaaargh!,А-а-а-а!
ST_99p_Variations/GenericBoss_ID_99p_dream_start_1_All_1,"Aaaaargh, goddamit!",Твою же мать!
ST_99p_Variations/GenericPlanner_ID_99p_pass_blocked_5_All_1,Ah! I see you now...,А! Теперь я вас вижу...
ST_99p_Variations/GenericPlanner_ID_99p_reminder_more_generators_1_All_1,Ah! This is taking too long! Can’t you get more of those generators going?,"Уф, слишком долго! Можете запустить больше генераторов?"
ST_99p_Variations/GenericHeister_ID_99p_boom_sewer_1_All_1,Ahhh! My ears!!!,А-а-а! Мои уши!!
ST_99p_Variations/GenericPlanner_ID_99p_generators_all_down_1_All_4,All generators are off! We don’t need 'em but shit we sure could use it!,"Все генераторы отключены! Можно обойтись и без них, но так было бы намного лучше!"
ST_99p_Variations/GenericPlanner_ID_99p_near_passage_2_All_1,All of you go!,Все вместе!
ST_99p_Variations/GenericPlanner_ID_99p_break_in_1_All_1,"All of you, use that elevator to get to the higher ground.","Все на лифт, займите позицию повыше."
ST_99p_Variations/GenericPlanner_ID_99p_going_up_2_All_1,Alright hold on a bit….. I’ll do another circle,"Ладно, продержитесь чутка... Я зайду на новый круг."
ST_99p_Variations/GenericHeister_ID_99p_next_area_3_All_1,Alright let’s go then,"Хорошо, тогда вперед."
ST_99p_Variations/GenericHeister_ID_99p_door_open_1_All_1,Alright let’s go!,"Хорошо, идем!"
ST_99p_Variations/GenericHeister_ID_99p_look_passage_3_All_1,Alright!,Хорошо!
ST_99p_Variations/GenericPlanner_ID_99p_upload_complete_1_All_4,Alright! It’s done!,"Отлично, все готово!"
ST_99p_Variations/GenericPlanner_ID_99p_robots_deactivated_1_All_1,Alright! Sorry… jeez.,"Ладно! Блин, извиняюсь…"
ST_99p_Variations/GenericPlanner_ID_99p_wait_helicopter_1_All_1,"Alright, I’m sending chopper with something to get you through.","Отлично, отправляю вертушку. Там будет кое-что, чтобы вам было легче проникнуть внутрь."
ST_99p_Variations/GenericPlanner_ID_99p_hack_update_1_1_All_2,"Alright, now were getting somewhere.","Отлично, у нас есть прогресс."
ST_99p_Variations/GenericPlanner_ID_99p_blackscreen_servo_1_All_1,"Alright, remember the plan, it’s simple.","Ну что, запоминайте план, он проще простого."
ST_99p_Variations/GenericPlanner_ID_99p_next_steps_1_All_2,"Alright, work your way through the alley and to the apartments. There’ll be another terminal in one of the rooms and you can bet your ass it’ll be heavily secured.","Так, пробирайтесь через переулок к дому. В одной из комнат найдете еще один терминал. И можете не сомневаться, что он будет хорошо защищен."
ST_99p_Variations/GenericPlanner_ID_99p_motel_control_terminal_1_All_2,"Alright, you’re in. Boot up the terminal and get the upload started.","Значит, вы уже там. Загрузите терминал и запускайте вирус."
ST_99p_Variations/GenericHeister_ID_99p_chopper_c4_2_All_1,"Alright.. don’t miss, I’m not swimming.","Хорошо... не промахнись, я плавать не умею."
ST_99p_Variations/GenericHeister_ID_99p_alt_end2_5_All_1,Alright… well fuck it.. she got no army for weeks now,Хорошо... да пофиг... теперь у нее надолго не будет армии.
ST_99p_Variations/GenericHeister_ID_99p_cut_done_1_All_1,And open.,Открыто.
ST_99p_Variations/GenericPlanner_ID_99p_helicopter_explodes_1_All_1,"And there you go, see? What’d I fuckin' tell you?","Ну вот, видали? А я же, блядь, говорил!"
ST_99p_Variations/GenericHeister_ID_99p_blow_warning_2_All_1,And?,И?
ST_99p_Variations/GenericHeister_ID_99p_no_c4_gate_1_All_1,Anyone?,Есть желающие?
ST_99p_Variations/GenericPlanner_ID_99p_river_hint1_1_All_1,Anything?,Хоть что-то?
ST_99p_Variations/GenericPlanner_ID_99p_too_many_enemies_1_All_2,Are these guys fucking living here? Where’d they all come from? Fuck it; kill them and get on the terminal.,"Эти чуваки что, живут здесь? Откуда они все взялись? К черту, убейте их и идите к терминалу."
ST_99p_Variations/GenericHeister_ID_99p_no_detectives_3_All_1,Back on track – got you,Вернуться к заданию. Принято.
ST_99p_Variations/StoryCharacter3D_ID_99p_dream_bad_news_1_All_1,"Bad news, Baker… you're running out of time.","Плохие новости, Бейкер… У тебя вышло время."
ST_99p_Variations/GenericPlanner_ID_99p_C4_drop_1_All_1,Bag is on the ground – get it,Сумка на земле — подбирайте.
ST_99p_Variations/GenericPlanner_ID_99p_servo_exposes_cagnali_1_All_1,"Baker! I’m in Cagnali’s system, and you need to see this.","Бейкер! Я в системе Канали, тебе нужно это видеть."
ST_99p_Variations/GenericPlanner_ID_99p_c4_gate_2_All_1,Bang the gate open!,Взрывайте ворота!
ST_99p_Variations/GenericBoss_ID_99p_dream_pit_1_All_1,Bastards…,Придурки…
ST_99p_Variations/StoryCharacter3D_ID_99p_cagnali_to_player_1_All_1,"Before you go, I think it’s important that you see my side of things.","Прежде чем вы уйдете, я думаю, вы должны услышать мою точку зрения."
ST_99p_Variations/GenericHeister_ID_99p_door_trap_3_All_1,Bitch!,Сука!
ST_99p_Variations/GenericHeister_ID_99p_near_bitch_1_All_3,Bitch!,Сука!
ST_99p_Variations/GenericHeister_ID_99p_next_area_1_All_1,Bodies piling up – we got a bunch of them.,Валяется куча тел — мы многих достали.
ST_99p_Variations/GenericHeister_ID_99p_bodycheck_1_All_1,Bodycount?,Сколько убитых?
ST_99p_Variations/GenericPlanner_ID_99p_hack_complete_1_All_3,"Boom! Guess whos controling the robots now motherfucker! Alright, alright, check it.","Бам! Угадайте, кто управляет гребаными роботами! Так, сейчас посмотрим."
ST_99p_Variations/GenericPlanner_ID_99p_servo_exposes_cagnali_1_All_2,Boss! Mr. Baker! Can I call you Baker? Cagnali is up to something big. You need to take a look.,Босс! Мистер Бейкер! А можно просто Бейкер? Канали замышляет что-то грандиозное. Вам нужно это видеть.
ST_99p_Variations/GenericHeister_ID_99p_zip_drop_1_All_1,Bullseye!,В яблочко!
ST_99p_Variations/GenericPlanner_ID_99p_bitch_2_All_1,But first things first. We are here to wipe out her army as well.,Но сначала первоочередные задачи. Мы должны уничтожить ее армию.
ST_99p_Variations/StoryCharacter3D_ID_99p_cagnali_monologue_1_All_1,By now I’m sure you are sifting through the information you have stolen from me.,Наверняка вы уже сунули нос в украденную у меня информацию.
ST_99p_Variations/GenericHeister_ID_99p_runner_nokill_2_All_1,COVER!,В УКРЫТИЕ!
ST_99p_Variations/StoryCharacter3D_ID_99p_dream_arrest_civ_4_All_1,Cagnali Industries' line of android attorneys are awaiting approval for general use.,"Андроиды-адвокаты от корпорации ""Канали"" проходят испытания перед запуском в публичное пользование."
ST_99p_Variations/GenericHeister_ID_99p_dead_army_2_All_1,Cagnali will be next!,Следующим шагом — Канали!
ST_99p_Variations/GenericPlanner_ID_99p_bridge_gone_6_All_1,Can you guys cross?,Вы сможете перейти?
ST_99p_Variations/GenericPlanner_ID_99p_reminder_staircase_1_All_5,Can’t afford cold feet now! Get in there!,Сейчас не время прохлаждаться! Заходите внутрь!
ST_99p_Variations/GenericPlanner_ID_99p_door_trap_2_All_1,Careful… its everywhere probably,"Осторожнее... они, скорее всего, повсюду."
ST_99p_Variations/GenericHeister_ID_99p_red_flares_4_All_1,Charge!!!,В атаку!!
ST_99p_Variations/GenericPlanner_ID_99p_sudden_explo_4_All_1,Check the rubble guys! Can we go?!,"Ребята, проверьте завалы! Сможем пройти?!"
ST_99p_Variations/GenericPlanner_ID_99p_progress_1_All_1,Check your zones ppl… all the way to the construction site up there!,"Ребята, проверьте свои зоны... до самой строительной площадки!"
ST_99p_Variations/GenericPlanner_ID_99p_extraction_sent_1_All_1,Choppers on the way to get you. Time for us to hit this bee in her hive.,"Вертушка уже в пути, скоро будет у вас. Пришло время разобраться с этим пчелиным ульем."
ST_99p_Variations/GenericPlanner_ID_99p_chopper_arrived_1_All_2,Chopper’s here! Let’s go!,Вертолет на месте! Вперед!
ST_99p_Variations/GenericBoss_ID_99p_dream_see_casey_1_All_1,"Christ, Casey, what the fuck?","Иисусе, Кейси, какого хера?"
ST_99p_Variations/GenericHeister_ID_99p_drop_far_2_All_1,Clock man.. how much time do we have?,Время... Сколько у нас осталось?
ST_99p_Variations/GenericNPC_ID_99p_near_bitch_2_All_1,"Come get some, you piss ants!","Сейчас получите, сраные букашки!"
ST_99p_Variations/GenericHeister_ID_99p_get_bitch_1_All_1,"Come on team, hurry up!","Ну же, группа, скорее!"
ST_99p_Variations/GenericPlanner_ID_99p_remind_elevator_1_All_3,Come on… get inside the cage all of you. Time!,Ну же... все в лифт. Время!
ST_99p_Variations/GenericHeister_ID_99p_sad2_2_All_2,Come out and play!,Выходите поиграть!
ST_99p_Variations/GenericPlanner_ID_99p_appr_apartments_1_All_1,Coming up on the apartments! You know the drill - get in and find the terminal!,"Приближаемся к дому! Вы знаете, что делать. Войдите и найдите терминал!"
ST_99p_Variations/GenericPlanner_ID_99p_black2_1_All_1,Compound is straight ahead. Cops holding off for half hour. If time is up – they will eat you alive – so you hurry.,"Впереди резиденция. Копы ждут уже полчаса. Время истекло — они вас живьем сожрут, так что поторапливайтесь."
ST_99p_Variations/GenericPlanner_ID_99p_confirm_upload_1_All_4,Confirm the upload!,Подтвердите загрузку!
ST_99p_Variations/GenericPlanner_ID_99p_7min_1_All_1,Cops are far away… and not in a hurry,Копы далеко... и не торопятся.
ST_99p_Variations/GenericPlanner_ID_99p_14min_1_All_1,"Cops are here, but they won’t enter the compound. We are good for now.","Копы здесь, но они не станут входить в резиденцию. Нам пока везет."
ST_99p_Variations/GenericPlanner_ID_99p_drop_far_3_All_1,Cops getting antsy…. and the bitches helicopter is not far away!,Копы нервничают... и вертолет этой суки уже близко!
ST_99p_Variations/GenericPlanner_ID_99p_bitch_c_3_All_1,Cops will move in earlier though…,Хотя копы войдут раньше...
ST_99p_Variations/GenericHeister_ID_99p_ied_explo_2_All_1,Coughing,Кха.
ST_99p_Variations/GenericHeister_ID_99p_pass_blocked_1_All_1,Coughing,Кха-кха.
ST_99p_Variations/GenericHeister_ID_99p_arrival_room_1_All_1,Cover! Cover! (in case of enemies),В укрытие! В укрытие!
ST_99p_Variations/GenericPlanner_ID_99p_remind_buzzsaw_1_All_3,Cut your way through that fence,Прорежьте проход в заборе.
ST_99p_Variations/GenericPlanner_ID_99p_reminder_staircase_1_All_13,C’mon you’re making us look like a bunch of pussies!,"Ну же, ребята, хватит вести себя как кучка лохов!"
ST_99p_Variations/GenericPlanner_ID_99p_reminder_more_generators_1_All_2,"C’mon, c’mon! Get some more generators running so we can get out of here!","Ну же! Запустите еще несколько генераторов, чтобы мы могли уже свалить отсюда!"
